FID,Lat,Lng,Score,Q1,Q2,Q3,Q4,Q5,ashcan,awning,bicycle,booth,bridge,building,bulletin board,car,ceiling,chair,column,desk,earth,fence,fountain,grass,lake,lamp,minibike,mountain,person,pier,plant,railing,road,sculpture,sidewalk,signboard,sky,skyscraper,sofa,streetlight,tree,van,wall,water,windowpane
0,42.340599,-71.045418,4.255503404,1,2.563625878,3.801431127,5.538858975,5.612208465,0,0,0,0,0,0.1825,0,0.008859,0,0,0,0,0.036852,0.019426,0,0.000672,0,0,0,0,0,0,0.016176,0,0.347066,0,0.016863,0,0.332668,0,0,0,0.026645,0,0,0,0
1,42.340599,-71.046165,4.390048936,1,4.248460529,3.560794045,5.351517409,5.202658506,0,0,0,0,0,0.149457,0,0.01057,0,0,0,0,0.046133,0.007344,0,0.007277,0,0,0,0,0,0,0,0,0.347629,0,0.012938,0.008578,0.381148,0,0,0.00025,0.028539,0,0,0,0
2,42.340599,-71.046539,4.188790851,1,2.804930105,2.781176063,5.114938624,4.540061233,0,0,0,0,0,0.096164,0,0.048758,0,0,0,0,0,0.000891,0,0.003387,0,0,0,3.90E-05,0,0,0.000746,0,0.426914,0,0,0.000234,0.422141,0,0,4.00E-06,4.00E-06,0,0,0,0
3,42.340599,-71.047668,6.419538511,2,3.032305279,2.464654625,4.902991436,3.256696236,0,0,0,0,0,0.036594,0,0.037023,0,0,0,0,0.003156,0.055574,0,0.030957,0,0,0,0,0,0,0,0,0.343656,0,0.000449,0.001852,0.436109,0,0,0.000453,0.031434,0.000531,0,0,0
4,42.340599,-71.048416,4.642638298,1,3.16811317,3.573200992,6.040403871,4.802221964,0,0,0,0,0,0.289789,0,0.000105,0,0,0,0,0,0.016211,0,0,0,0,0,0,0,0,0.009477,0,0.274488,0,0.069098,0.000895,0.292184,0,0,4.70E-05,0.003359,0,0.014344,0,0
7,42.340599,-71.049919,7.270882766,1,4.842773443,5.088868371,4.901274989,6.390897849,0,0,0,0,0,0.196617,0,0.154156,0,0,0,0,0.000367,0.004184,0,0.010559,0,0,0,0,0,0,0.021246,0,0.218637,0,0.00866,0,0.211328,0,0,0,0.163941,0,0.010305,0,0
8,42.340599,-71.050667,6.373484681,1,6.805480683,5.711235501,4.857706014,4.125824878,0,0,0,0,0,0.715152,0,0.004805,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.122008,0,0.07698,0,0.081055,0,0,0,0,0,0,0,0
9,42.340599,-71.051048,3.909408085,1,6.584172855,5.82664897,5.200060662,4.547096329,0,0,0,0,0,0.610301,0,0.001832,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.140402,0,0.143312,0,0.103188,0,0,0,0.000965,0,0,0,0
10,42.340599,-71.051796,6.003320213,1,4.92454927,4.939407929,4.565821527,6.055311554,0,0,0,0,0,0.222637,0,0.181355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003082,0,0.203418,0,0.000422,0.011219,0.284012,0,0,0.001379,0.07752,0,0,0,0
12,42.340599,-71.052925,4.978257447,1,5.515949142,4.478908189,4.483086994,5.393282021,0,0,0,0,0,0.399613,0,0.001074,0,0,0,0,0,0.128215,0,0,0,0,0,0.000816,0,0,0,0,0.144035,0,0.044191,1.60E-05,0.245359,0,0,7.80E-05,1.60E-05,0,0.036586,0,0
13,42.340599,-71.053299,5.72919,1,4.444776834,3.567718853,5.897890006,5.152503892,0,0,0,0,0,0.256008,0,0.044598,0,0,0,0,0,0.012973,0,0.004008,0,0,0,0,0,0,0.009844,0,0.331602,0,0.014125,0.000957,0.231969,0,0,0.001316,0.085,0,0.007598,0,0
14,42.340599,-71.054047,6.121730426,1,5.052057392,4.08852213,5.359554878,5.726579001,0,0,0,0,0,0.14725,0,0.066277,0,0,0,0,0.001488,0,0,0.00052,0,0,0,0,4.00E-06,0,0.00102,0,0.23866,0,0.090035,2.00E-05,0.368402,0,0,0.00116,0.082973,0.002188,4.00E-06,0,0
15,42.340599,-71.05442,5.585413191,1,4.852734306,5.32921692,5.98201222,5.503410058,0,0,0,0,0,0.476457,0,0.011535,0,0,0,0,0.05441,0.000992,0,0,0,0,0,0,0,0,0.001488,0,0.210938,0,0.001746,0,0.210539,0,0,0,0.031172,0,0.000723,0,0
19,42.340599,-71.056679,5.287056809,1,3.837935868,4.387731548,6.111497222,5.707336688,0,0,0,0,0,0.074121,0,0.020844,0,0,0,0,0.018711,0,0,0.021312,0,0,0,0,0,0,0.004,0,0.383195,0,0.015891,0.025602,0.305996,0,0,0,0.110012,0,0.020316,0,0
20,42.340599,-71.057426,3.96812,2,2.687570557,2.557273934,5.112429539,3.992222274,0,0,0,0,0,0.056477,0,0.010543,0,0,0,0,0,0.015945,0,0,0,0,0,0,0,0,0,0,0.37309,0,0.026203,0,0.423922,0,0,0,0.009969,0,0.083824,0,0
22,42.340599,-71.061928,4.647100638,1,3.806001002,3.788735645,4.997716802,5.307039694,0,0,0,0,0.022508,0.153,0,0.050062,0,0,0,0,0,0.016473,0,0,0,0,0,0,0,0,0,0,0.355926,0,0.000664,0,0.361027,0,0,0.00034,1.60E-05,0,0,0,0
24,42.340599,-71.063057,4.111569574,2,1.94576733,2.390790005,3.614024184,3.496574036,0,0,0,0,0,0.054828,0,0.028965,0,0,0,0,0.006672,0.130102,0,0,0,0,0,0,0,0,0,0,0.294258,0,0,0.000602,0.47584,0,0,0,0.000117,0,0.008613,4.00E-06,0
25,42.340599,-71.063431,3.993216809,1,2.293004576,2.632869756,3.180138,3.934169437,0,0,0,0,0.00073,0.040312,0,0.026355,0,0,0,0,0.015188,0.088297,0,0,0,0,0,0,0,0,0,0,0.354727,0,0,0.037504,0.423609,0,0,0,0,0,0.006164,0,0
26,42.340599,-71.064178,4.257411064,1,3.159659444,2.71019678,5.194785127,4.336952301,0,0,0,0,0.057648,0.050301,0,0.003082,0,0,0,0,0,0.004414,0,0,0,0,0,0,0,0,0,0,0.447133,0,0.012371,0.012051,0.375961,0,0,0.000328,0.005191,0.001141,0.027012,0,0
27,42.340599,-71.066811,4.233946383,1,5.486974866,5.764325697,5.514149016,6.16208252,0,0,0,0,0,0.218516,0,0.045754,0,0,0,0,0,0.002184,0,0.000316,0,0,0,0,0,0,0.017887,0.007668,0.262219,0,0.064414,0.004766,0.13818,0,0,0.003289,0.234809,0,0,0,0
30,42.340599,-71.068687,6.409790426,1,5.026767094,5.747590744,6.817078454,5.785046356,0,0,0,0,0,0.425953,0,0.147148,0,0,0,0,0,4.00E-06,0,0.00898,0,0,0,0,0,0,0.003203,0.006887,0.22725,0,0.024363,0,0.131371,0,0,0,0.024066,0,0.000773,0,0
31,42.340599,-71.069061,6.287290213,1,4.078841342,4.375901668,6.901260816,5.269418121,0,0,0,0,0,0.30768,0,0.113848,0,0,0,0,0,0.014539,0,0.004641,0,0,0,0,0,0,0,0.000973,0.306852,0,8.00E-06,0.001734,0.222727,0,0,0.000621,0.026379,0,0,0,0
33,42.340599,-71.070183,5.107147872,1,5.699256089,3.578683132,5.613437403,5.443337632,0,0,0,0,0,0.231184,0,0.02059,0,0,0,0,0,0,0,0.014883,0,0,0,0,0.000551,0,0.00066,0,0.34477,0,0.04234,5.10E-05,0.250371,0,0,0,0.094602,0,0,0,0
34,42.340599,-71.070938,4.729039149,1,4.144653665,4.477754054,4.778026302,6.049106959,0,0,0,0,0,0.083035,0,0.013875,0,0,0,0,0,0.003594,0,0.022922,0,0,0,0,7.00E-05,0,0,0.001246,0.374543,0,0.056008,0.001129,0.280184,0,0,0,0.161105,0,0.001156,0,0
35,42.340599,-71.071312,4.438177447,1,4.043601498,3.245426741,5.482311928,5.513476719,0,0,0,0,0,0.049109,0,0.013301,0,0,0,0,0,0.002348,0,0.00632,0,0,0,0,0.001504,0,0,0,0.427922,0,0.010035,0.000117,0.357426,0,0,3.10E-05,0.130184,0,0.000859,0,0
36,42.340599,-71.072433,6.146359149,1,6.134012662,6.032950545,6.415123024,6.289418552,0,0,0,0,0,0.272062,0,0.031496,0,0,0,0,0,0.000277,0,0,0,0,0,0.00443,0,0,0.000719,0,0.248742,0,0.080277,0.000371,0.118039,0,0,0.002156,0.241355,0,7.40E-05,0,0
38,42.340599,-71.073563,8.17289234,1,6.792666742,6.351780253,6.359562711,5.829634171,0,0,0,0,0,0.44482,0,0.16193,0,0,0,0,0,0,0,0.000746,0,0,0,0,0,0,0,0,0.18816,0,0.011344,0,0.09259,0,0,0.000281,0.100129,0,0,0,0
40,42.340599,-71.074692,5.486376383,1,5.742270416,6.394194702,5.307063476,6.176052046,0,0,0,0,0,0.216719,0,0.133105,0,0,0,0,0,0.041461,0,0,0,0,0,0,0,0,0,0.00484,0.220199,0,0.002637,0,0.105445,0,0,0,0.254254,0,0.008078,0,0
48,42.340599,-71.079193,7.259655745,1,5.282196103,6.213861158,4.606716527,6.047103012,4.00E-06,0,0,0,0,0.035152,0,0.073109,0,0,0,0,0.002969,0.012723,0,0.015145,0,0,0,0,0.000133,0,0.012199,0.05607,0.244992,0,0.042836,0.001316,0.138492,0,0,4.00E-06,0.364812,0,0,0,0
49,42.340599,-71.079941,7.570261064,1,7.039198446,5.656702637,6.630408209,5.936616595,0,0,0,0,0,0.125309,0,0.09377,0,0,0,0,0,0.062988,0,0,0,0,0,0,0,0,0.169945,0,0.137621,0,0.000109,0.001105,0.178352,0,0,0,0.215605,0,0.002965,0,0
50,42.340599,-71.080315,8.003152128,1,5.939320336,6.887587281,5.059442174,5.652170927,0,0,0,0,0,0.308336,0,0.184551,0,0,0,0,0,0,0,0.000699,0,0,0,0,0,0,0.001809,0.002973,0.177633,0,0.008355,0.001785,0.058223,0,0,0.001359,0.235723,0,0,0,0
52,42.340599,-71.081444,6.915036383,1,3.913369092,4.316463731,6.276497547,5.352683461,0,0,0,0,0,0.325734,0,0.03166,0,0,0,0,0,0,0,0,0,0,0,0,0.000375,0,0,0,0.35443,0,0.033184,0.001469,0.212543,0,0,0,0.040605,0,0,0,0
53,42.340599,-71.082191,5.248598936,1,2.412377695,4.194991055,5.974905156,5.50563292,0,0.001023,0,0,0,0.107938,0,0.097352,0,0,0,0,0,0,0,0,0,0,0.001289,0,0.009629,0,0,0,0.304867,0,0,0.012777,0.337168,0,0,2.00E-05,0.019676,0,0,0,0
56,42.340599,-71.083694,5.946043404,1,4.997405933,4.596341393,4.919132347,6.216840324,0,0,0,0,0,0.166406,0,0.057844,0,0,0,0,0.010684,0,0,0.040309,0,0,0,0,0,0,0,0,0.220578,0,0.072094,0,0.314141,0,0,0,0.117945,0,0,0,0
58,42.340599,-71.084824,4.437032553,1,2.950669055,3.383057303,5.152964779,5.177833368,0,0,0,0,0,0.174785,0,0.01625,0,0,0,0,0.001781,0.003047,0,0,0,0,0,0,0.000324,0,0,0,0.436641,0,0,0,0.343434,0,0,4.30E-05,0.010375,0,0,0,0
59,42.340599,-71.085571,4.450361064,1,4.245037756,3.801719661,6.199417095,5.020436981,0,0,0,0,0,0.252449,0,0.009375,0,0,0,0,0,0.000586,0,4.30E-05,0,0,0,0,0,0,0,0,0.283309,0,0.069676,0.03302,0.248777,0,0,0.008121,0.076113,0,0.001988,0,0
60,42.340599,-71.085945,5.320263617,1,7.129475927,6.111431704,6.088326418,6.321333463,0,0,0,0,0,0.357902,0,0.045988,0,0,0,0,0,0.050445,0,0,0,0,0,0,3.90E-05,0,0,0,0.226117,0,0.082746,0.001348,0.121516,0,0,0.006723,0.107176,0,0,0,0
61,42.340599,-71.0867,6.173232766,1,7.515195725,6.003520111,6.022171587,6.118947698,0,0,0,0,0,0.414285,0,0.002113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.258578,0,0.092609,0,0.11473,0,0,0,0.115848,0,0,0,0
67,42.340599,-71.090073,6.270072553,1,5.054918732,4.807548041,7.188683271,6.179763974,0,0,0,0,0,0.138855,0,0.000188,0,0,0,0,0,0,0,0.000195,0,0,0,0,0,0,0.007586,0,0.308926,0,0.089258,0,0.241078,0,0,0,0.205547,0,0.008367,0,0
68,42.340599,-71.090446,4.052012766,1,4.669594523,4.223267355,3.267026657,4.831656967,0,0,0,0,0,0.187766,0,0,0,0,0,0,0,0.00018,0,0.001395,0,0,0,0,0,0,0.009312,0,0.329094,0,0.03991,0,0.1525,0,0,0.001473,0.04402,0,0.233949,0,0
71,42.340599,-71.092323,6.844078723,1,6.928831954,7.359339835,5.632836419,6.514894581,0,0,0,0,0,0.147664,0,0.039176,0,0,0,0,0.005676,0.0125,0,0.172824,0,0,0,0,0,0,0,0,0.169078,0,0.053965,0,0.050953,0,0,3.10E-05,0.347285,0,0,0,0
73,42.340599,-71.093452,5.932701702,1,6.522040082,6.059495643,6.506111107,5.924165255,0,0,0,0,0,0.022121,0,0.019879,0,0,0,0,0,0,0,0.188148,0,0,0,0,0,0,0,0,0.215195,0,0.041602,0,0.196754,0,0,0,0.316301,0,0,0,0
75,42.340599,-71.094582,7.630281702,1,6.734249674,6.93779214,5.225611812,6.400634664,0,0,0,0,0,0.00082,0,0.003398,0,0,0,0,0.11282,0.000293,0,0.015918,0,0,0,0,0,0,0,0,0.306992,0,0,0.001293,0.00834,0,0,0,0.549094,0,0,0,0
76,42.340599,-71.094955,6.002931702,1,6.214748148,5.640833285,5.611122194,5.992531611,0,0,0,0,0,0.001227,0,0.006922,0,0,0,0,0.019094,0.000512,0,0.138258,0,0,0,0,0,0,0,0,0.278531,0,4.70E-05,0.004176,0.210949,0,0,0,0.339672,0,0.000129,0,0
77,42.340599,-71.097954,5.869022128,1,4.929551551,5.657568238,4.969335311,5.765871232,0,0,0,0,0,0,0,0.001004,0,0,0,0,0.018207,0.004254,0,0.053344,0,0,0,0,0,0,0,0,0.263895,0,0.061059,0.055766,0.233293,0,0,0,0.307785,0,0.001395,0,0
