FID,Lat,Lng,Score,Q1,Q2,Q3,Q4,Q5,ashcan,awning,bicycle,booth,bridge,building,bulletin board,car,ceiling,chair,column,desk,earth,fence,fountain,glass,grass,lake,lamp,minibike,mountain,person,pier,plant,railing,road,sculpture,sidewalk,signboard,sky,skyscraper,sofa,streetlight,tree,van,wall,water,windowpane
0,51.524573,-0.134929,4.78230156,1,6.028712274,5.672564693,5.509611025,5.530665181,0,0,0,0,0,0.47173,0,0.004699,0,0,0,0,0,0.010016,0,0,0,0,0,0,0,0.001406,0,0,0.008066,0.303992,0,0.060145,7.40E-05,0.138156,0,0,8.00E-06,0,0,0,0,0
1,51.524363,-0.135491,5.837663749,1,6.357384356,5.082207494,5.568052964,5.003598321,0,0,0,0,0,0.499531,0,0.001336,0.013078,0,0,0,0,0.000273,0,0,0,0,0,0,0,0.000395,0,0,0.001609,0.240121,0,0.132484,0.000141,0.082801,0,0,0.002105,0,0,0.019234,0,0
2,51.524144,-0.136049,6.155515317,1,4.459185751,4.279170354,5.675431598,5.509158899,0,0,0,0,0,0.37366,0,0.000531,0,0,0,0,0,0.058066,0,0,0,0,0,0,0,0.004625,0,0,0,0.282578,0,0.011129,0.024816,0.161207,0,0,0,0.009684,0,0.047562,0,0
3,51.523929,-0.136609,5.635822221,1,7.610310949,5.693285559,5.331242144,5.507540007,0,0,0,0,0,0.426043,0,0.000273,0,0,0,0,0,0.113781,0,0,0,0,0,0,0,0,0,0,0,0.144141,0,0.095379,0.016574,0.108598,0,0,0,0.063531,0,0.03168,0,0
4,51.523724,-0.137173,6.350183038,1,5.248686725,5.063656047,5.492079833,5.451052438,0.000699,0,0,0,0,0.382066,0,0.012188,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00366,0,0,0,0.372246,0,0.037012,0,0.18766,0,0,0,0.004027,0,0,0,0
5,51.516413,-0.130377,6.123740491,1,4.642251072,3.587967734,5.352662107,5.116338153,0,0,0,0,0,0.30366,0,0.016062,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009863,0,0,0,0.408449,0,0.026344,4.70E-05,0.226812,0,0,7.80E-05,0,0,0,0,0
6,51.516936,-0.130655,6.423705246,1,5.80496249,5.498551903,5.55865696,5.584221714,0,0,0,0,0,0.424688,0,0.005586,0,0,0,0,0,0,0,0,0,0,0,0,0,0.042715,0,0,0,0.24107,0,0.072473,0.003941,0.085797,0,0,0,0.001125,0,0,0,0
7,51.52083,-0.139103,6.132050573,1,4.90102461,4.860272275,5.603038153,5.514489034,0,0,0.000398,0,0,0.350035,0,0.009496,0,0,0,0,0,0,0,0,0.000559,0,0,0.000906,0,0.001242,0,0.010629,0,0.338512,0,0.072949,0.000316,0.175645,0,0,0.000699,0.025695,0.004801,0.002883,0,0
8,51.521205,-0.139571,5.859577948,1,7.164417312,6.008528558,5.568740232,5.698523357,0,0,0,0,0,0.40102,0,0.002117,0,0,0,0,0,0.059008,0,0,0,0,0,0,0,0.001812,0,0,0,0.168371,0,0.186375,0,0.082176,0,0,0,0.087484,0,0.008977,0,0
9,51.531365,-0.114117,6.623720302,1,5.359284417,5.273864171,6.052772503,6.008185952,0,0.00093,0,0,0,0.192695,0,0.005938,0,0,0,0,0,0.052875,0,0,0.000902,0,0,0,0,0,0,0.009203,0,0.285621,0,0.137574,0.00241,0.121633,0,0,0,0.181449,0,0.005102,0,0
