FID,Lat,Lng,Score,Q1,Q2,Q3,Q4,Q5,wall,ceiling,windowpane,person,column,signboard,building,sky,road,sidewalk,car,awning,van,bulletin board,fence,ashcan,streetlight,tree,grass,earth,mountain,plant,bicycle,railing,bridge,skyscraper,minibike,water,chair,lamp,pier,sculpture,desk,fountain,glass,booth,sofa,lake,ct_person,ct_car,ct_truck,ct_bus,ct_traffic light,ct_bench,ct_motorcycle,ct_bicycle,ct_chair,ct_boat,ct_dining table,ct_couch,ct_parking meter
0,40.700909,-74.013504,3.20471617,1,4.385651617,3.028491817,3.161989923,1.730719462,0.264027,0.301527,0.034535,0.141543,0.035738,0.000137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0
1,40.701,-74.013878,3.152895957,1,4.66678507,4.491986817,5.777969355,4.121376812,0.006508,0,0,8.00E-06,0,0.010266,0.299535,0.178066,0.28248,0.074203,0.030078,0,0,0,0.100398,0.00468,0,0,0.001312,0,0,0.000832,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0
2,40.70108,-74.012878,3.548501064,1,4.548235154,3.011229363,3.277203398,2.650750518,0.188297,0.242586,0.000695,3.90E-05,0.033836,0.01252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002172,0,0,0,0,0,0.504477,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,40.701187,-74.013268,3.280281915,1,4.291496314,3.191705923,2.134307407,1.682841615,0.633688,0.206184,0,0,0,0,0,0.008344,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,40.701244,-74.012115,6.212572553,1,5.53505461,5.478797429,5.702325403,5.709109731,0.013098,0,0,0.000277,0,0,0.501297,0.094562,0.359336,0.024441,0.000305,0,0,0,0.006684,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,40.701332,-74.012573,2.837334489,1,4.803557221,2.893259641,2.668358046,2.402950311,0.482523,0.287242,0,0,0,0,0,0,0.224754,0,0.002805,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
6,40.701401,-74.013954,5.409040638,1,4.901996016,4.678125226,5.482028518,3.90010352,0,0,0,0,0,0.057246,0.156012,0.29418,0.237801,0.098402,0.009336,0,0,0,0.038953,0,0,0.006152,0.000117,0.001551,0,0.048828,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0
7,40.701462,-74.014297,3.206972553,1,6.078403384,5.896316031,5.523375701,5.258152174,0.040461,0,0,0.072887,0,0.000555,0.019656,0.180805,0.157922,0.100352,0.034938,0,0,0,0.004684,0,0,0.301059,0,0.01557,0,0.037219,0,0.033895,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0
8,40.701477,-74.011406,5.387888511,1,4.052470548,4.579223583,5.915536837,5.302795031,0.033207,0,0,0.001781,0,0,0.316922,0.207223,0.376762,0.022363,0.002254,0,0,0,0.015469,0,0,0.000961,0,0,0,0,0,0.000176,0.000145,0.000863,0,0.011191,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
9,40.701496,-74.014694,2.813610723,1,4.430402554,3.055082536,2.568541548,2.402950311,0.509375,0.248906,0,0,0,0,0,0,0.06832,0,0.004465,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
