FID,Lat,Lng,Score,Q1,Q2,Q3,Q4,Q5,ashcan,awning,bicycle,booth,bridge,building,bulletin board,car,ceiling,chair,column,earth,fence,fountain,grass,lamp,minibike,mountain,person,pier,plant,railing,road,sculpture,sidewalk,signboard,sky,skyscraper,sofa,streetlight,tree,van,wall,water,windowpane
0,37.757229,-122.446942,8.821617309,1,4.629295853,4.598890881,6.208544373,4.905900621,0,0,0,0,0,0.027395,0,0,0,0,0,0.184062,0.001016,0,0,0,0,0.248207,0,0,0,0,0.173414,0,0,0.000293,0.204098,0,0,0,0.122887,0,0.038629,0,0
1,37.757108,-122.44636,6.981471889,1,5.432409015,4.659819406,6.048712713,4.978881988,0,0,0,0,0,0.35118,0,0.054074,0,0,0.001887,0,0,0,0.000871,0,0,0.008004,0,0,0.039539,0,0.292133,0,0,2.70E-05,0.18468,0,0,0,0.036832,0,0.028652,0,0
2,37.757536,-122.448877,7.640591974,1,7.567928626,6.939618613,5.978610245,6.037888199,0,0,0,0,0,0.053055,0,0,0,0,0,0,0.038688,0,0,0,0,0,0,0,0.005773,0.001027,0.208965,0,0.134348,0.002316,0.060559,0,0,0,0.455906,0,0.039363,0,0
3,37.757503,-122.449476,6.485690705,1,5.262400393,4.851049998,5.377394382,4.896118012,0,0,0,0,0,0.089578,0,0.010555,0,0,0,0,0,0,0.005527,0,0,0,0,0,0.264398,0,0.293086,0,0.015215,0,0.141816,0,0,0,0.077176,0,0.102648,0,0
4,37.75747,-122.450075,8.08445525,1,5.835980484,4.944374449,4.79633361,5.617080745,0,0,0,0,0,0.134562,0,0.010086,0,0,0,0.109367,0,0,0.002059,0,0,0,0,0,0.003414,0,0.238375,0,0.032223,0,0.288195,0,0,0,0.181016,0,0.000703,0,0
5,37.75309,-122.40057,7.683567867,1,5.884106179,6.144756136,5.473872841,6.335093168,0,0,0,0,0,0.090453,0,0.001438,0,0,0,0.077547,0,0,0.041379,0,0,0,0,0,0.069602,0,0.230824,0,0.047551,0,0.102375,0,0,0,0.270328,0,0.061543,0,0
6,37.752493,-122.400506,7.44112977,1,4.777101122,5.114379032,6.025950012,5.191614907,0,0,0,0,0,0.016062,0,0.012797,0,0,0,0,0,0,0.011449,0,0,0.002469,0.003316,0,0.237148,0,0.181164,0,0.029695,0,0.188754,0,0,0,0.164203,0,0.002859,0,0
7,37.752084,-122.400412,6.109031526,1,5.067669899,4.764554958,4.694467125,5.404503106,0,0,0,0,0,0.058422,0,0.020078,0,0,0,0.000367,0,0,0.010016,0,0.003008,0.007117,3.90E-05,0,0.001977,0,0.358832,0,0.032234,0,0.270086,0,0,0.001109,0.152836,0,0,0,0
8,37.77889,-122.413273,5.073030702,1,5.241444796,4.815021794,1.462245097,3.917701863,0,0,0,0,0,0.298074,0,0,0,0,0,0,0.07802,0,0,0,0,0,0,0,0,0,0,0,0.000676,0,0.073793,0,0,0,0,0,0.430074,0,0
10,37.77811,-122.412411,6.404921537,1,6.106416031,5.700623099,6.556984027,5.395807453,0,0,0,0,0,0.396965,0,0.00407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.298758,0,0.003609,0,0.099336,0,0,0,0.01627,0.180992,0,0,0
11,37.787773,-122.402486,6.20839353,1,7.245662924,6.210387678,5.448834718,5.925931677,0.002043,0,0,0,0,0.478977,0,0.011863,0,0,0.002816,0,0,0,0,0,0,0,0.133141,0,0,0,0.002172,0,0.269398,0,0.047344,0,0,0,0.052246,0,0,0,0
12,37.801038,-122.40443,6.524305124,1,5.905758472,4.545960845,6.000771258,5.455900621,0,0,0,0,0,0.346289,0,0.018176,0,0,0,0,0,0,0,0,0.003562,0.00275,0.005348,0,0.014129,0,0.338828,0,0.034145,0.00266,0.162191,0,0,0.001305,0.013277,0,0.057227,0,0
13,37.801953,-122.404668,5.171064962,1,6.835363896,6.711261172,6.438767402,5.379192547,0,0,0,0,0,0.035645,0,0,0,0,0,0,0,0,0,0,0,0.100586,0.014609,0,0.022699,0.021227,0,0,0,0,0.019516,0,0,0,0.326336,0,0.263984,0.004543,0
14,37.802542,-122.404785,7.403258806,1,6.703219744,6.709729317,5.669724382,5.369720497,0,0,0,0,0,0.388902,0,0,0,0,0,0.02125,0,0,0,0,0,0,0.000652,0,0.10391,0,0.214152,0,0.015613,0,0.054895,0,0,0,0.197797,0,0.002828,0,0
