FID,Lat,Lng,Score,Q1,Q2,Q3,Q4,Q5,ashcan,awning,bicycle,booth,bridge,building,bulletin board,car,ceiling,chair,column,earth,fence,fountain,grass,lamp,minibike,mountain,person,pier,plant,railing,road,sculpture,sidewalk,signboard,sky,skyscraper,streetlight,tree,van,wall,water,windowpane
0,47.652729,-122.349251,6.938049324,1,5.42023524,5.555714085,5.403622835,5.367063492,0,0,0,0,0,0.024965,0,0.035195,0,0,0,0.000719,0,0,0.000344,0,0,5.10E-05,0,0,0.09525,0,0.433305,0,0,0,0.150422,0,0,0.25975,0,0,0,0
1,47.652728,-122.348851,7.727340188,1,7.121731187,6.2223573,5.735011095,5.542615597,0,0,0,0,0,0.057391,0,0.101164,0,0,0,0.002418,0.007488,0,0.045531,0,0,0,0,0,0.045512,0,0.211852,0,0,0,0.167914,0,0,0.297848,0.024094,0.000637,0,0
10,47.614094,-122.318141,6.818587662,1,6.574169236,6.080008628,5.201319737,5.552967564,0.00309,0,0,0,0,0.315961,0,0.00975,0,0,0,0,0,0,0,0,0,0,0.004965,0,0,0,0.353383,0,0.066918,0.003203,0.10798,0,0,0.133203,0,0.001547,0,0
100,47.65004,-122.347428,3.80383833,2,3.715884435,2.387754111,4.894316999,3.578545549,0,0,0,0,0,0.039043,0,0.03409,0,0,0,0.026742,0.058582,0,0,0,0,0,0,0,0,0.030293,0.289,0,0,0,0.468969,0,0,0.011773,0,0.040062,0,0
1000,47.617606,-122.308033,8.392734607,1,7.865136462,6.886891576,7.202560694,6.763716356,0,0,0,0,0,0.142363,0,0.079207,0,0,0,0.018035,0,0,0.018457,0,0,0,0,0,0.061137,0,0.225434,0,0.035637,0.003305,0.015609,0,0,0.395195,0,0,0,0
1001,47.617605,-122.307633,7.250292415,1,6.355487039,5.750665334,5.346286763,5.042486197,0,0,0,0,0,0.017238,0,0.021652,0,0,0,0,0,0,0.104312,0,0,0,0,0,0.094711,0,0.245695,0,0.000527,0.001223,0.204543,0,0.00134,0.270438,0,0.002207,0.002008,0
1002,47.577856,-122.30801,8.614436901,1,4.895512162,4.297534374,5.519631958,4.539121808,0.000152,0,0.002156,0,0,0.019898,0,0.00268,0,0,0,0.171461,0.002223,0,0.012621,0,0,0,0,0,0.00016,0,0.258891,0,0,0,0.316867,0,0,0.18066,0,0.014234,0,0
1003,47.577856,-122.30761,9.257366143,1,5.064519813,5.919731307,4.555625471,4.645876467,0,0,0,0,0,0.0175,0,2.00E-05,0,0,0,0.167492,0.000117,0,0.032363,0,0,0.000129,0.000336,0,0,0,0.064789,0,0.012797,0,0.307734,0,0,0.202969,0,0.040566,0,0
1004,47.577856,-122.30721,4.289408378,1,4.315404819,4.068240887,4.164211076,4.948887164,0,0,0,0,0,0.114867,0,0,0,0,0,0.060676,0.000457,0,0.150938,0,0,0.006887,0,0,0.049648,0,0.225688,0,0,0.000727,0.360953,0,3.10E-05,0.01977,0,0,0,0
1005,47.577855,-122.30681,4.476559141,1,3.295649195,3.667765746,4.911386097,4.6355245,0,0,0,0,0,0.053559,0,0.015684,0,0,0,0.16293,0,0,0,0,0,0,0,0,0.00102,0,0.293699,0,0,0.000527,0.406023,0,0,0.066547,0,1.20E-05,0,0
1006,47.641731,-122.305517,4.836420753,1,4.845837616,4.683807057,6.563297758,5.193021049,0,0,0,0,0,0.055906,0,0.001613,0,0,0,0,0,0,0.155848,0,0,0.001418,0,0,0.003672,0,0.275051,0,0.008977,0.022586,0.312027,0,0,0.162902,0,0,0,0
1007,47.64173,-122.305117,8.908988375,1,6.742034943,6.146066122,4.733685939,5.38431677,0,0,0,0,0,0.003969,0,0.036988,0,0,0,0.105516,0,0,0,0,0,0,0,0,0,0,0.232703,0,0.000125,0,0.209254,0,0,0.411445,0,0,0,0
1008,47.647284,-122.338742,8.030017213,1,5.933538883,6.07203947,6.450062046,6.223257419,0,0,0,0,0,0.17557,0,0,0,0,0,0.043645,0,0,0,0,0,0,0,0,0.007461,0,0.197453,0,0.144414,0,0.105422,0,0,0.293148,0,0,0,0
1009,47.647119,-122.338377,5.084469855,1,3.188306498,4.147573508,4.530514215,4.963336784,0,0,0,0,0.000609,0.136859,0,0.008172,0,0,0,0.011238,0,0,0.004184,0,0,0,0,0,0.027379,0,0.383535,0,0.01443,0,0.327617,0,0.000215,0.060465,0,0.025297,0,0
101,47.603484,-122.332062,6.384273695,1,5.881009478,4.978432903,5.331357946,5.709325397,0,0,0,0,0,0.308801,0,0,0,0,0,0,0.007746,0,0,0,0,0,0.010609,0,0,0,0.351078,0,0.05207,0,0.172188,0,0.011691,0.072301,0,0.013516,0,0
1010,47.646917,-122.338063,3.589484231,2,2.980472764,3.351541257,5.073726708,3.618012422,0,0,0,0,0,0.023973,0,0.03327,0,0,0,0.01927,0.000566,0,0.00282,0,0,0,0,0,0.008773,0,0.398582,0,0.008758,0,0.425184,0,0.000262,0.067727,0,0,0,0
1011,47.611733,-122.341753,6.287956524,1,5.039968026,4.690499883,5.301598354,5.692287785,0,0,0,0,0,0.407742,0,0.013242,0,0,0,0,0.004703,0,0,0,0,0,0.000367,0,0,0,0.424047,0,0.00384,0,0.144809,0,0,0,0,0,0,0
1012,47.611978,-122.341436,6.031693359,1,3.569715656,4.314890895,4.429818189,5.119263285,0,0,0,0,0,0.272992,0,0.149457,0,0,0,0,0.002141,0,0,0,0,0,0,0,0,0,0.298395,0,0.001883,0.00041,0.229121,0.017918,0.002164,0,0,0.025438,0,0
1013,47.612222,-122.34112,5.83125512,1,4.840127898,4.592817365,5.710318857,5.343555901,0,0,0,0,0,0.359309,0,0.005664,0,0,0,0,0.000781,0,0,0,0,0,7.00E-05,0,0,0,0.35209,0,0.073254,0.004402,0.186254,0.007539,0.001207,0.00666,0,0,0,0
1014,47.644309,-122.370191,8.562657964,1,7.745803357,6.514901499,5.339831676,6.104425466,0.002027,0,0,0,0,0.034668,0,0.012875,0,0,0,0.067676,0.000766,0,0,0,0,0,0,0,0.009836,0,0.325105,0,0.011453,0.002438,0.127516,0,4.00E-06,0.403152,0,0,0,0
1015,47.644308,-122.370591,6.998553554,1,6.19047619,5.420866149,6.943323075,5.418823326,0,0,0,0,0,0.096496,0,0,0,0,0,0.019852,0,0,0.00059,0,0,0,0,0,0.086625,0,0.161176,0,0.133117,0.005105,0.148074,0,0,0.161566,0,0.003637,0,0
1016,47.629592,-122.361813,7.318651013,1,6.789425602,5.848192815,4.995563876,5.361671843,0,0,0,0,0,0.001754,0,0.002203,0,0,0,0.003848,0,0,0.021551,0,0,0,0,0,0.060176,0,0.36666,0,0.03498,0.000926,0.156938,0,0,0.305023,0,0.006902,0,0
1017,47.629992,-122.36181,4.293779255,1,4.667694416,3.648039679,6.062827732,3.722826087,0.001727,0,0,0,0,0.01193,0,0.009359,0,0,0,0.001672,0,0,0.083879,0,0,0,0,0,0.028445,0,0.353047,0,0,0,0.266375,0,0,0.119383,0,0,0,0
1018,47.630392,-122.361807,6.772329354,1,5.325453922,5.060961881,7.580888022,5.396825397,0.000895,0,0,0,0,0.107641,0,0.001711,0,0,0,0,0,0,0.045797,0,0,0,0,0,0.113863,0,0.252609,0,0.024734,0,0.244293,0,0,0.185473,0,0.020207,0,0
1019,47.64692,-122.319587,5.766072467,1,5.593239694,4.113844937,6.134551131,4.902087647,0,0,0,0,0,0.076371,0,0.062953,0,0,0,0.026777,0.00477,0,0,0,0,0,0,0,0.073684,0,0.294895,0,0.004055,0.00875,0.317164,0,0,0.090238,0,0.000195,0.005816,0
102,47.603638,-122.331693,6.431887671,1,5.390544707,5.227553511,4.495050034,5.170591787,0,0,0,0,0,0.229887,0,0.074297,0,0.001195,0,0,0.03173,0,0,0,0,0,0.000574,0,0,0,0.310234,0,0.027891,0,0.208883,0.067609,0.000309,0.040188,0.006938,0.000215,0,0
1020,47.646919,-122.319187,3.906118744,1,4.413611968,4.789833825,5.568782976,4.960533126,0,0,0,0,0.023,0.052602,0,0.004668,0,0,0,0.063594,0,0,1.20E-05,0,0,0,0,0,0.164066,0,0.058852,0,0.231457,0.00243,0.35232,0,0.000695,0.043922,0,0.000855,0,0
1021,47.646919,-122.318787,4.828940449,1,5.058239123,3.532348214,6.154561237,4.420074189,0,0,0,0,0,0.013684,0,0,0,0,0,0.005945,0.011109,0,9.80E-05,0,0,0,0.000621,0,0.137176,0,0.353645,0,0.012379,0,0.314074,0,0.000996,0.140707,0,0.004598,0,0
1022,47.646919,-122.318387,4.325560456,1,4.289711088,3.695916407,4.666516347,4.405840235,0,0,0,0,0,0.062742,0,0.008047,0,0,0,0.000605,9.00E-05,0,0.029406,0,0,0,0.000117,0,0.001688,0,0.33625,0,0.058387,0.002402,0.38818,0,0.000285,0.100629,0,0.005531,0,0
1023,47.606206,-122.318111,7.736395617,1,5.902135434,5.760002736,7.049040227,6.247627674,0,0,0,0,0,0.087617,0,0.010598,0,0,0,0,0,0,0.043504,0,0,0,0,0,0.02668,0,0.236668,0,0.113855,0.01909,0.144738,0,0,0.279191,0,0.001703,0,0
10230,47.652755,-122.308865,7.797789825,1,7.062921092,5.722003822,5.584564686,6.23447205,0,0,0,0,0.001945,0.057242,0,0.005176,0,0,0,0.000738,0.020434,0,0.000637,0,0,0,0,0,0.082363,0.004793,0.259867,0,0,0.001762,0.136164,0,0.001648,0.325027,0,0.06643,0,0
1024,47.606205,-122.317711,7.99724902,1,6.57531118,5.658233481,6.426397123,5.858997585,0,0,0,0,0,0.075637,0,0.006238,0,0,0,0.020852,0.025848,0,0.026027,0,0,0,0,0,0.009816,0,0.273586,0,0.073957,0.000574,0.151332,0,0,0.291395,0,0.044738,0,0
1025,47.606204,-122.317311,6.585606528,1,6.297818888,5.335150488,6.622899746,5.930383023,0,0,0,0,0,0.073402,0,0.03459,0,0,0,0,0.003758,0,7.00E-05,0,0,0,0,0,0,0,0.237652,0,8.00E-06,0.003438,0.177629,0,0,0.231852,0.077398,0.001508,0,0.012348
1026,47.606203,-122.316911,4.367636057,1,4.824711659,4.779194959,4.625344134,4.951259489,0,0,0,0,0,0.072859,0,0.029012,0,0,0,0,0.012789,0,0.026145,0,0,0,0.001324,0,0.019629,0,0.25902,0,0.053238,0,0.355617,0,0.005652,0.022434,0.065211,0.014438,0,0
10263,47.627996,-122.355004,8.163792782,1,7.282745232,6.868831911,6.059134805,6.621376812,0,0,0,0,0,0.124453,0,0.105641,0,0,0,0.013414,0,0,0.215578,0,0,0,0,0,0.002766,0,0.127266,0,0.037328,0,0.002445,0,0,0.37102,0,9.00E-05,0,0
1027,47.598784,-122.319641,5.677128029,1,4.709375357,4.987101316,5.358736252,5.848429952,0,0,0,0,0,0.408203,0,0.013918,0,0,0,0,0.016859,0,0,0,0,0,0,0,0,0,0.34032,0,0.043301,0.001012,0.173703,0,1.20E-05,0.001523,0,0,0,0
1028,47.598384,-122.319643,5.024408216,1,3.083247687,3.742278557,4.24606425,5.01660628,0,0,0,0,0,0.278668,0,0.016234,0,0,0,0.00043,0.031777,0,0.002496,0,0,0,0,0,0.011504,0.00159,0.330895,0,0.055234,0.001449,0.254773,0,0.004582,0.004164,0,9.00E-05,0,0
1029,47.655384,-122.343564,4.436388231,1,4.289711088,4.317189568,5.175105009,4.566080055,0,0,0,0,0,0.036215,0,0.038488,0,0,0,0,0,0,0.051078,0,0,0,0,0,0.027312,0,0.34309,0,0.01241,0.009152,0.359809,0,0.000137,0.10502,0,0,0,0
103,47.603793,-122.331324,6.784897253,1,4.736782003,4.707960692,6.480822016,5.677622498,0,0,0,0,0,0.069699,0,0.111238,0,0,0,0,0.046199,0,0,0,0,0,0.000645,0,0,0,0.331035,0,0.006738,0,0.16141,0.119605,0.00068,0.152566,0,0.000184,0,0
